Timestamp,year,california
1555,2016,26507
1556,2016,26395
1557,2016,25786
1558,2016,24439
1559,2016,23052
1560,2016,21714
1561,2016,20956
1562,2016,20289
1563,2016,19879
1564,2016,19927
1565,2016,20487
1566,2016,21817
1567,2016,24045
1568,2016,25645
1569,2016,26638
1570,2016,27033
1571,2016,27029
1572,2016,26713
1573,2016,26310
1574,2016,25902
1575,2016,25717
1576,2016,25624
1577,2016,25414
1578,2016,26759
1579,2016,28967
1580,2016,28989
1581,2016,28115
1582,2016,26675
1583,2016,24976
1584,2016,23287
1585,2016,22295
1586,2016,21529
1587,2016,21120
1588,2016,21080
1589,2016,21730
1590,2016,23266
1591,2016,24858
1592,2016,25612
1593,2016,25351
1594,2016,24980
1595,2016,24823
1596,2016,24938
1597,2016,24981
1598,2016,25380
1599,2016,25374
1600,2016,25457
1601,2016,25637
1602,2016,26678
1603,2016,28765
1604,2016,28746
1605,2016,27944
1606,2016,26461
1607,2016,24362
1608,2016,22852
1609,2016,21808
1610,2016,21156
1611,2016,20792
1612,2016,20708
1613,2016,21256
1614,2016,22872
1615,2016,24442
1616,2016,25500
1617,2016,25793
1618,2016,25848
1619,2016,25786
1620,2016,25843
1621,2016,25965
1622,2016,26178
1623,2016,26399
1624,2016,26483
1625,2016,26419
1626,2016,27154
1627,2016,29021
1628,2016,28893
1629,2016,27884
1630,2016,26201
1631,2016,24242
1632,2016,22711
1633,2016,21794
1634,2016,21231
1635,2016,20836
1636,2016,20832
1637,2016,21400
1638,2016,22779
1639,2016,23972
1640,2016,25041
1641,2016,25442
1642,2016,25878
1643,2016,26306
1644,2016,26566
1645,2016,26838
1646,2016,27223
1647,2016,27430
1648,2016,27344
1649,2016,27083
1650,2016,27672
1651,2016,29115
1652,2016,28969
1653,2016,27926
1654,2016,26294
1655,2016,24556
1656,2016,23068
1657,2016,22070
1658,2016,21414
1659,2016,20940
1660,2016,20875
1661,2016,21148
1662,2016,22399
1663,2016,24128
1664,2016,25524
1665,2016,26269
1666,2016,26871
1667,2016,27301
1668,2016,27060
1669,2016,26684
1670,2016,26725
1671,2016,26739
1672,2016,26391
1673,2016,26129
1674,2016,26701
1675,2016,28212
1676,2016,28131
1677,2016,27431
1678,2016,26088
