H                Wind-60                 Wind-61                 Wind-62
h64             0.164402943             0.165976426             0.15727003
h65             0.157611771             0.145587767             0.129080119
h66             0.108092813             0.119464798             0.158753709
h67             0.359083192             0.37177445              0.350148368
h68             0.647990945             0.653711373             0.600890208
h69             0.973967176             0.967187002             0.912462908
h70             0.990945105             0.987894234             0.985163205
h71             0.992925863             0.986619943             0.985163205
h72             0.994906621             0.981204205             0.985163205
h73             0.993491794             0.988531379             0.959940653
h74             0.978211658             0.973239885             0.856083086
h75             0.956140351             0.958585537             0.839762611
h76             0.915110357             0.944568334             0.752225519
h77             0.850594228             0.908251035             0.836795252
h78             0.808432371             0.859509398             0.824925816
h79             0.853140917             0.884995221             0.916913947
h80             0.855687606             0.901242434             0.958456973
h81             0.747311828             0.778910481             0.778931751
h82             0.6745897               0.707868748             0.765578635
h83             0.564516129             0.64765849              0.762611276
h84             0.713073005             0.805352023             0.899109792
h85             0.895302773             0.920675374             0.973293769
h86             0.933786078             0.939471169             0.988130564
h87             0.957272213             0.973558458             0.979228487
h88             0.959252971             0.977062759             0.985163205
h89             0.947934352             0.977062759             0.989614243
h90             0.903791737             0.952851227             0.988130564
h91             0.602433503             0.64765849              0.692878338
h92             0.420203735             0.416374642             0.43768546
h93             0.357102434             0.258362536             0.228486647
h94             0.493774759             0.327492832             0.121661721
h95             0.525466893             0.503345014             0.320474777
h96             0.440860215             0.50971647              0.224035608
h97             0.376627051             0.413826059             0.173590504
h98             0.36672326              0.40936604              0.222551929
h99             0.221561969             0.347562918             0.137982196
h100            0.258913413             0.336731443             0.149851632
h101            0.335597057             0.375597324             0.179525223
h102            0.333050368             0.389295954             0.259643917
h103            0.308998302             0.381013061             0.277448071
h104            0.239105829             0.334820006             0.262611276
h105            0.535087719             0.546352342             0.534124629
h106            0.553480475             0.570245301             0.586053412
h107            0.365025467             0.358394393             0.396142433
h108            0.195529145             0.190825104             0.227002967
h109            0.160441426             0.134119146             0.161721068
h110            0.116864743             0.11404906              0.132047478
h111            0.084040747             0.067856005             0.057863501
h112            0.078947368             0.066581714             0.010385757
h113            0.115449915             0.096208984             0.016320475
h114            0.144312394             0.123287671             0.047477745
h115            0.175155631             0.169480726             0.129080119
h116            0.181097906             0.174896464             0.167655786
h117            0.166666667             0.139534884             0.160237389
h118            0.133559706             0.155782096             0.28189911
h119            0.155065082             0.219496655             0.333827893
h120            0.139501981             0.197515132             0.244807122
h121            0.161573288             0.164383562             0.185459941
h122            0.213355971             0.178082192             0.096439169
h123            0.297396718             0.245619624             0.078635015
h124            0.355404641             0.354890092             0.133531157
h125            0.330503679             0.3934374               0.252225519
h126            0.32229768              0.426887544             0.492581602
h127            0.408885116             0.5234151               0.603857567
h128            0.516694963             0.56100669              0.700296736
h129            0.557159027             0.628862695             0.826409496
h130            0.850311262             0.859509398             0.897626113
h131            0.604697227             0.592226824             0.611275964
h132            0.380022637             0.352978656             0.234421365
h133            0.3016412               0.268238292             0.169139466
h134            0.394453877             0.376553042             0.221068249
h135            0.321731749             0.370500159             0.244807122
h136            0.270514997             0.273972603             0.189910979
h137            0.234295416             0.231283848             0.234421365
h138            0.197226938             0.198789423             0.252225519
h139            0.136672326             0.126791972             0.169139466
h140            0.172043011             0.155463523             0.136498516
h141            0.303338993             0.286078369             0.142433234
h142            0.145727221             0.169162154             0.041543027
h143            0.209960385             0.232239567             0.053412463
h144            0.225523486             0.225230965             0.037091988
h145            0.253254103             0.264415419             0.089020772
h146            0.31663837              0.283529787             0.203264095
h147            0.405206565             0.374960178             0.24925816
h148            0.295132994             0.338005734             0.416913947
h149            0.197226938             0.332589997             0.513353116
h150            0.11827957              0.29308697              0.505934718
h151            0.120826259             0.287671233             0.486646884
h152            0.088285229             0.25772539              0.363501484
h153            0.116298812             0.304874164             0.376854599
h154            0.086587436             0.207072316             0.244807122
h155            0.102999434             0.155782096             0.133531157
h156            0.087436333             0.143994903             0.086053412
h157            0.019807583             0.052564511             0.03264095
h158            0.014148274             0.02166295              0.00148368
h159            0.000848896             0.018795795             0
h160            0.001980758             0.021981523             0
h161            0.005942275             0.024530105             0
h162            0.009337861             0.033768716             0.007418398
h163            0.090831919             0.151959223             0.117210682
h164            0.193831353             0.292768398             0.290801187
h165            0.318619128             0.456514814             0.529673591
h166            0.345500849             0.406498885             0.339762611
h167            0.498302207             0.514813635             0.599406528
h168            0.546972269             0.555909525             0.65578635
h169            0.524052066             0.613889774             0.541543027
h170            0.594793435             0.646065626             0.574183976
h171            0.63638936              0.733035999             0.704747774
h172            0.591397849             0.667410003             0.591988131
h173            0.554046406             0.665179994             0.540059347
h174            0.490945105             0.577891048             0.477744807
h175            0.465478212             0.515769353             0.369436202
h176            0.366440294             0.376871615             0.231454006
h177            0.31041313              0.377508761             0.31305638
h178            0.147990945             0.18923224              0.143916914
h179            0.060837578             0.081873208             0.068249258
h180            0.064799095             0.090793246             0.051928783
h181            0.024617997             0.059891685             0
h182            0.032823995             0.063077413             0.010385757
h183            0.098754952             0.137304874             0.068249258
h184            0.144878325             0.18477222              0.106824926
h185            0.178551217             0.247849634             0.145400593
h186            0.228353141             0.269512584             0.252225519
h187            0.374363328             0.36827015              0.336795252
h188            0.547255235             0.469894871             0.409495549
h189            0.746462932             0.578209621             0.46735905
h190            0.91114884              0.745141765             0.75074184
h191            0.936615733             0.835935011             0.87388724
h192            0.962082626             0.93724116              0.845697329
h193            0.949632145             0.949028353             0.833827893
h194            0.931522354             0.959222682             0.817507418
h195            0.873797397             0.928639694             0.835311573
h196            0.827391058             0.884358076             0.863501484
h197            0.88483305              0.91557821              0.851632047
h198            0.922184493             0.935966868             0.893175074
h199            0.957555178             0.957629818             0.940652819
h200            0.943123939             0.953488372             0.961424332
h201            0.942275042             0.949984071             0.951038576
h202            0.907753254             0.922905384             0.951038576
h203            0.880305603             0.877030902             0.890207715
h204            0.874363328             0.853775088             0.896142433
h205            0.895868704             0.902198152             0.971810089
h206            0.794850028             0.820006371             0.864985163
h207            0.802773062             0.803759159             0.817507418
h208            0.855404641             0.896145269             0.890207715
h209            0.973967176             0.97037273              0.977744807
h210            0.988681381             0.989805671             0.989614243
h211            0.797396718             0.827970691             0.87537092
h212            0.722976797             0.770309016             0.841246291
h213            0.764855688             0.815546352             0.884272997
h214            0.782965478             0.843262185             0.872403561
h215            0.83163554              0.861420835             0.87388724
h216            0.891624222             0.941382606             0.954005935
h217            0.841539332             0.896782415             0.860534125
h218            0.729485003             0.782096209             0.764094955
h219            0.592529711             0.588722523             0.646884273
h220            0.49122807              0.520229372             0.480712166
h221            0.407187323             0.457151959             0.370919881
h222            0.30475382              0.390888818             0.34421365
h223            0.336445954             0.392800255             0.323442136
h224            0.231182796             0.329722842             0.185459941
h225            0.261460102             0.340554317             0.164688427
h226            0.146576118             0.239248168             0.127596439
h227            0.169496321             0.197515132             0.080118694
h228            0.221279004             0.203568015             0.090504451
h229            0.270232032             0.209620898             0.089020772
h230            0.232880589             0.234469576             0.133531157
h231            0.157328806             0.164383562             0.132047478
h232            0.093378608             0.111819051             0.130563798
h233            0.063667233             0.109907614             0.051928783
h234            0.050367855             0.093341829             0.038575668
h235            0.348896435             0.367951577             0.341246291
h236            0.615732881             0.636508442             0.633531157
h237            0.852574986             0.900605288             0.915430267
h238            0.863893605             0.876075183             0.894658754
h239            0.813808715             0.791653393             0.841246291
h240            0.808432371             0.806944887             0.8115727
h241            0.75155631              0.748646066             0.783382789
h242            0.714487832             0.713921631             0.732937685
h243            0.614318053             0.638738452             0.755192878
h244            0.64516129              0.626951258             0.706231454
h245            0.612337295             0.593182542             0.74925816
h246            0.56196944              0.550812361             0.761127596
h247            0.471703452             0.471806308             0.71810089
h248            0.330786644             0.388021663             0.65727003
h249            0.23655914              0.285122651             0.537091988
h250            0.142331636             0.17903791              0.37537092
h251            0.090548953             0.130933418             0.227002967
h252            0.04442558              0.050971647             0.108308605
h253            0.008205999             0.030901561             0.06379822
h254            0.033672892             0.057343103             0.117210682
h255            0.081777023             0.134119146             0.201780415
h256            0.105546123             0.144632048             0.189910979
h257            0.087153367             0.164702134             0.234421365
h258            0.068760611             0.132207709             0.194362018
h259            0.230333899             0.272061166             0.34421365
h260            0.459818902             0.470850589             0.545994065
h261            0.76032824              0.727938834             0.796735905
h262            0.842671194             0.785919083             0.829376855
h263            0.906055461             0.833067856             0.952522255
h264            0.932088285             0.881809493             0.958456973
h265            0.947934352             0.896463842             0.925816024
h266            0.943406904             0.952214081             0.897626113
h267            0.961233729             0.947754062             0.867952522
h268            0.946236559             0.92131252              0.856083086
h269            0.939162422             0.896145269             0.826409496
h270            0.926428976             0.871615164             0.762611276
h271            0.917657046             0.853137942             0.784866469
h272            0.915110357             0.860146543             0.899109792
h273            0.94368987              0.908251035             0.965875371
h274            0.870401811             0.841350749             0.924332344
h275            0.807583475             0.768079006             0.845697329
h276            0.682512733             0.666454285             0.599406528
h277            0.699490662             0.694807263             0.591988131
h278            0.623089983             0.616119783             0.508902077
h279            0.497736276             0.521503664             0.382789318
h280            0.333899264             0.396941701             0.204747774
h281            0.258347482             0.369544441             0.213649852
h282            0.250707414             0.344058617             0.213649852
h283            0.123938879             0.209620898             0.152818991
h284            0.045840407             0.117553361             0.108308605
h285            0.013299377             0.066900287             0.075667656
h286            0.013865308             0.020070086             0.047477745
h287            0.043859649             0.062121695             0.086053412
h288            0.140916808             0.165976426             0.169139466
h289            0.258347482             0.301369863             0.241839763
h290            0.331918506             0.381013061             0.24925816
h291            0.373797397             0.370500159             0.259643917
h292            0.350311262             0.314112775             0.244807122
h293            0.430956423             0.352978656             0.316023739
h294            0.471420487             0.375915897             0.28189911
h295            0.543010753             0.404906021             0.293768546
h296            0.502546689             0.432303281             0.390207715
h297            0.548670062             0.470532017             0.449554896
h298            0.464912281             0.395030264             0.364985163
h299            0.3254103               0.325899968             0.320474777
h300            0.243350311             0.246893915             0.198813056
h301            0.115449915             0.110226187             0.074183976
h302            0.074985852             0.074227461             0.068249258
h303            0.08262592              0.083784645             0.077151335
h304            0.106112054             0.0866518               0.059347181
h305            0.07696661              0.064033132             0.034124629
h306            0.066779853             0.047467346             0.025222552
h307            0.061120543             0.055431666             0.041543027
h308            0.047255235             0.046511628             0.047477745
h309            0.024900962             0.021025804             0.047477745
h310            0.006508206             0.020070086             0.010385757
h311            0.011601585             0.021981523             0.013353116
h312            0.038766271             0.033768716             0.010385757
h313            0.098189021             0.083147499             0.040059347
h314            0.096774194             0.075820325             0.037091988
h315            0.078664403             0.078368907             0.053412463
h316            0.055461234             0.069448869             0.060830861
h317            0.087436333             0.048423065             0.019287834
h318            0.136955291             0.063395986             0.060830861
h319            0.205432937             0.161516406             0.096439169
h320            0.432937182             0.328129978             0.179525223
h321            0.841822298             0.793883402             0.612759644
h322            0.907187323             0.905065307             0.796735905
h323            0.674306735             0.716788786             0.753709199
h324            0.448783248             0.472443453             0.424332344
h325            0.378324844             0.394074546             0.348664688
h326            0.311827957             0.333864288             0.314540059
h327            0.311262026             0.294679834             0.287833828
h328            0.225240521             0.217585218             0.185459941
h329            0.140350877             0.14367633              0.152818991
h330            0.087153367             0.086970373             0.097922849
h331            0.054046406             0.050015929             0.069732938
h332            0.031692134             0.026122969             0.041543027
h333            0.024617997             0.016565785             0.014836795
h334            0.046123373             0.031857279             0.008902077
h335            0.044142615             0.04555591              0.004451039
h336            0.084323713             0.119464798             0.010385757
h337            0.090265988             0.160560688             0.059347181
h338            0.133842671             0.204842306             0.143916914
h339            0.129315224             0.22809812              0.227002967
h340            0.128466327             0.227142402             0.270029674
h341            0.128749293             0.20643517              0.275964392
h342            0.098754952             0.146543485             0.256676558
h343            0.091397849             0.134756292             0.367952522
h344            0.128183362             0.185409366             0.364985163
h345            0.413412564             0.453966231             0.538575668
h346            0.29598189              0.362535839             0.399109792
h347            0.267119411             0.341191462             0.261127596
h348            0.181380872             0.208346607             0.152818991
h349            0.178268251             0.20293087              0.213649852
h350            0.207413696             0.281299777             0.323442136
h351            0.155913978             0.25199108              0.350148368
h352            0.123372949             0.194010831             0.302670623
h353            0.177136389             0.264733992             0.314540059
h354            0.274759479             0.330359987             0.409495549
h355            0.427277872             0.484549219             0.568249258
h356            0.583757782             0.632048423             0.697329377
h357            0.748726655             0.76967187              0.801186944
h358            0.930956423             0.924179675             0.942136499
h359            0.966044143             0.958585537             0.970326409
h360            0.970854556             0.959859828             0.974777448
h361            0.968024901             0.967187002             0.96735905
h362            0.950198076             0.959222682             0.946587537
h363            0.941426146             0.939789742             0.943620178
h364            0.883418223             0.87798662              0.900593472
h365            0.830786644             0.809812042             0.872403561
h366            0.75466893              0.755017522             0.854599407
h367            0.674023769             0.719974514             0.824925816
h368            0.524052066             0.647021344             0.807121662
h369            0.678551217             0.784963364             0.859050445
h370            0.720713073             0.823192099             0.856083086
h371            0.694963214             0.797387703             0.870919881
h372            0.822580645             0.876393756             0.900593472
h373            0.800509338             0.825740682             0.856083086
h374            0.79852858              0.773813316             0.884272997
h375            0.778720996             0.750557502             0.71958457
h376            0.667798529             0.670595731             0.569732938
h377            0.562818336             0.578209621             0.419881306
h378            0.481607244             0.532016566             0.422848665
h379            0.320599887             0.346288627             0.287833828
h380            0.220713073             0.236381013             0.224035608
h381            0.183927561             0.206116598             0.235905045
h382            0.325693265             0.377827334             0.330860534
h383            0.260611205             0.355208665             0.327893175
h384            0.27221279              0.437081873             0.34272997
h385            0.287492926             0.469257725             0.456973294
h386            0.217883418             0.393118828             0.449554896
h387            0.151952462             0.33067856              0.409495549
h388            0.144029428             0.349792928             0.454005935
h389            0.158177702             0.349155782             0.540059347
h390            0.137521222             0.299139853             0.379821958
h391            0.097340125             0.261548264             0.183976261
h392            0.090548953             0.237973877             0.097922849
h393            0.083757782             0.214080917             0.06379822
h394            0.069609508             0.211532335             0.081602374
h395            0.088002264             0.22459382              0.130563798
h396            0.030843237             0.137623447             0.057863501
h397            0.061686474             0.209302326             0.099406528
h398            0.131295982             0.223319529             0.175074184
h399            0.116015846             0.233195285             0.229970326
h400            0.056876061             0.16533928              0.146884273
h401            0.077249576             0.127429118             0.102373887
h402            0.062252405             0.071041733             0.089020772
h403            0.062535371             0.070086015             0.077151335
h404            0.061686474             0.073590315             0.053412463
h405            0.06196944              0.083466072             0.013353116
h406            0.04442558              0.114367633             0.037091988
h407            0.153367289             0.136986301             0.212166172
h408            0.441709111             0.302962727             0.244807122
h409            0.235144312             0.129340554             0.137982196
h410            0.175721562             0.387384517             0.231454006
h411            0.286644029             0.411914622             0.354599407
h412            0.274759479             0.349474355             0.483679525
h413            0.293435201             0.422746097             0.416913947
h414            0.189303905             0.377190188             0.339762611
h415            0.226655348             0.350430073             0.252225519
h416            0.224391624             0.371455878             0.148367953
h417            0.141482739             0.304237018             0.090504451
h418            0.16581777              0.316661357             0.057863501
h419            0.086304471             0.256451099             0.048961424
h420            0.18024901              0.322077095             0.112759644
h421            0.273061686             0.397578847             0.278931751
h422            0.400962083             0.508442179             0.354599407
h423            0.546972269             0.602421153             0.421364985
h424            0.515280136             0.593182542             0.516320475
h425            0.653650255             0.72061166              0.709198813
h426            0.746745897             0.767760433             0.799703264
h427            0.652801358             0.681427206             0.752225519
h428            0.563384267             0.618986939             0.728486647
h429            0.475947934             0.577572475             0.729970326
h430            0.383984154             0.45842625              0.639465875
h431            0.227221279             0.291494106             0.43620178
h432            0.237973967             0.291494106             0.400593472
h433            0.126485569             0.17107359              0.221068249
h434            0.147425014             0.18126792              0.209198813
h435            0.133842671             0.15737496              0.164688427
h436            0.173457838             0.182223638             0.142433234
h437            0.238539898             0.255495381             0.206231454
h438            0.164119977             0.191143676             0.179525223
h439            0.13893605              0.159286397             0.18694362
h440            0.117147708             0.126473399             0.161721068
h441            0.106677985             0.125517681             0.200296736
h442            0.066213922             0.050971647             0.129080119
h443            0.052631579             0.011468621             0.03115727
h444            0.089700057             0.042370182             0.023738872
h445            0.057159027             0.022300096             0.008902077
h446            0.052914544             0.026441542             0.011869436
h447            0.043010753             0.015291494             0.005934718
h448            0.024052066             0.004460019             0.002967359
h449            0.007640068             0                       0
h450            0.005093379             0                       0
h451            0.322014714             0.327174259             0.327893175
h452            0.627334465             0.652118509             0.648367953
h453            0.92303339              0.973239885             0.965875371
h454            0.923599321             0.976425613             0.954005935
h455            0.924731183             0.957948391             0.954005935
h456            0.968873797             0.982797069             0.980712166
h457            0.98811545              0.996177126             0.980712166
h458            0.980475382             0.995858554             0.983679525
h459            0.967176005             1                       0.991097923
h460            0.957272213             0.994902835             0.985163205
h461            0.956423316             0.985027079             0.985163205
h462            0.937181664             0.973877031             0.973293769
h463            0.949066214             0.936285441             0.96735905
h464            0.929824561             0.899968143             0.930267062
h465            0.850877193             0.84835935              0.881305638
h466            0.883135257             0.908251035             0.740356083
h467            0.852857951             0.815864925             0.734421365
h468            0.793718166             0.728257407             0.540059347
h469            0.760611205             0.699904428             0.504451039
h470            0.684776457             0.61803122              0.559347181
h471            0.754102999             0.737177445             0.768545994
h472            0.699490662             0.728257407             0.8115727
h473            0.685625354             0.724753106             0.802670623
h474            0.634974533             0.724753106             0.790801187
h475            0.466610074             0.523733673             0.535608309
h476            0.401245048             0.430710417             0.388724036
h477            0.44057725              0.447276203             0.34421365
h478            0.486983588             0.52564511              0.473293769
h479            0.66270515              0.650207072             0.612759644
h480            0.889643463             0.860783689             0.715133531
h481            0.916525184             0.934055432             0.860534125
h482            0.899547255             0.898375279             0.787833828
h483            0.921901528             0.906976744             0.756676558
h484            0.950481041             0.934692577             0.814540059
h485            0.967741935             0.947116916             0.851632047
h486            0.966327108             0.949346926             0.965875371
h487            0.966327108             0.963682701             0.983679525
h488            0.943123939             0.955399809             0.983679525
h489            0.850594228             0.895508124             0.835311573
h490            0.769666101             0.798343421             0.746290801
h491            0.790605546             0.828289264             0.81305638
h492            0.806451613             0.850270787             0.913946588
h493            0.952178834             0.95093979              0.985163205
h494            0.917091115             0.926091112             0.982195846
h495            0.927560838             0.931506849             0.986646884
h496            0.922184493             0.94297547              0.986646884
h497            0.939162422             0.950302644             0.988130564
h498            0.911431805             0.941064033             0.986646884
h499            0.605829089             0.632366996             0.68694362
h500            0.315506508             0.33067856              0.428783383
h501            0.039615167             0.037910162             0.206231454
h502            0.058290889             0.060210258             0.192878338
h503            0.0237691               0.016884358             0.066765579
h504            0.02942841              0.028671551             0.035608309
h505            0.071024335             0.042688754             0.022255193
h506            0.064799095             0.057980248             0.016320475
h507            0.061403509             0.108633323             0.047477745
h508            0.041878891             0.049697356             0.017804154
h509            0.037634409             0.009238611             0
h510            0.03254103              0.009875757             0
h511            0.036219581             0.025485824             0.005934718
h512            0.057159027             0.042370182             0.03264095
h513            0.159026599             0.119464798             0.03264095
h514            0.223259762             0.22459382              0.084569733
h515            0.277023203             0.253902517             0.059347181
h516            0.221561969             0.190825104             0.038575668
h517            0.190152801             0.124880535             0.017804154
h518            0.101867572             0.069130296             0.022255193
h519            0.086021505             0.056387385             0.020771513
h520            0.073005093             0.047785919             0.071216617
h521            0.095076401             0.08091749              0.105341246
h522            0.164402943             0.136667729             0.137982196
h523            0.251839276             0.211213762             0.178041543
h524            0.416808149             0.351067219             0.326409496
h525            0.659309564             0.55527238              0.584569733
h526            0.831352575             0.731443135             0.767062315
h527            0.813808715             0.77763619              0.854599407
h528            0.845783814             0.795157694             0.893175074
h529            0.70713073              0.666454285             0.706231454
h530            0.730616865             0.675374323             0.664688427
h531            0.651103565             0.645747053             0.75074184
h532            0.617430673             0.603695444             0.775964392
h533            0.61827957              0.582032494             0.68694362
h534            0.615449915             0.547626633             0.599406528
h535            0.590831919             0.518636508             0.40652819
h536            0.488964346             0.441860465             0.454005935
h537            0.309564233             0.32844855              0.526706231
h538            0.317487267             0.330041414             0.486646884
h539            0.171194114             0.205798025             0.31305638
h540            0.100452745             0.112456196             0.112759644
h541            0.057724958             0.063714559             0.048961424
h542            0.031975099             0.042688754             0.019287834
h543            0.00311262              0.016565785             0.013353116
h544            0.000848896             0.004778592             0
h545            0.000848896             0.007008601             0
h546            0.001980758             0.010194329             0
h547            0.048104131             0.098120421             0.152818991
h548            0.097340125             0.17903791              0.238872404
h549            0.149405772             0.253265371             0.258160237
h550            0.382852292             0.478496336             0.424332344
h551            0.297396718             0.400764575             0.292284866
h552            0.386247878             0.417967506             0.293768546
h553            0.542161856             0.514495062             0.360534125
h554            0.649971703             0.617075502             0.568249258
h555            0.749858517             0.744186047             0.724035608
h556            0.791454443             0.781777636             0.744807122
h557            0.828805886             0.828289264             0.801186944
h558            0.825693265             0.791016247             0.818991098
h559            0.805319751             0.776680471             0.835311573
h560            0.74844369              0.733035999             0.771513353
h561            0.783531409             0.784007646             0.78189911
h562            0.713638936             0.732717426             0.74925816
h563            0.603565365             0.674100032             0.609792285
h564            0.411714771             0.484230647             0.43620178
h565            0.367572156             0.46639057              0.492581602
h566            0.409168081             0.493469258             0.611275964
h567            0.516411998             0.624721249             0.807121662
h568            0.55008489              0.625358394             0.78189911
h569            0.632144878             0.66932144              0.774480712
h570            0.732031692             0.748646066             0.818991098
h571            0.566213922             0.557502389             0.553412463
h572            0.446236559             0.405224594             0.335311573
h573            0.369552915             0.289901242             0.158753709
h574            0.550367855             0.481044919             0.256676558
h575            0.683644595             0.628862695             0.409495549
h576            0.860780985             0.825740682             0.90504451
h577            0.923882286             0.933099713             0.933234421
h578            0.973684211             0.97833705              0.985163205
h579            0.980758347             0.97833705              0.985163205
h580            0.97311828              0.975151322             0.980712166
h581            0.975664969             0.975469895             0.983679525
h582            0.956140351             0.965912711             0.983679525
h583            0.952744765             0.966549857             0.980712166
h584            0.950764007             0.964956993             0.976261128
h585            0.909451047             0.949665499             0.961424332
h586            0.944821732             0.963682701             0.983679525
