Timestamp,year,CVA,NVA,CCT,FRE,SDG,ECA,LAX,NCT,PAC,ELU,NE,NW,SW,MX
7392,2016,3065.35192273423,463.622182776901,4739.12093615564,1343.90197925243,2102,29.3629274816016,6978.38425876194,587.465168033042,119.537811047752,3559.25281375646,0,0,0,0
7393,2016,2974.74892472726,449.918842749092,4599.0461337981,1304.18009693128,1944,27.3928020359259,6510.16485500854,570.101385084105,116.004616710165,3320.44234295554,0,0,0,0
7394,2016,2852.36061266539,431.408101465626,4409.83033520365,1250.52299687778,1838,26.0117691071518,6181.94899652414,546.646045494066,111.231908293489,3153.03923436871,0,0,0,0
7395,2016,2776.01644713164,419.861352655309,4291.80009190566,1217.05242718422,1767,25.1420240232357,5975.24564902792,532.014923468241,108.254757654932,3047.61232694884,0,0,0,0
7396,2016,2737.39877584998,414.020584774604,4232.09607778605,1200.12178881783,1725,24.6779747292613,5864.95983742451,524.613966801481,106.748805970059,2991.36218784623,0,0,0,0
7397,2016,2743.33995604716,414.919164448559,4241.28131072753,1202.72650241266,1734,24.5751614126322,5840.52525641058,525.752575519444,106.980490844654,2978.89958217679,0,0,0,0
7398,2016,2810.17823326542,425.028185780548,4344.61518131916,1232.02953035449,1789,25.2698459844502,6005.62377677497,538.561923596528,109.586945683858,3063.10637724058,0,0,0,0
7399,2016,2965.83715443149,448.57097323816,4585.26828438588,1300.27302653903,1910,26.361890131348,6265.15865078779,568.393472007161,115.657089398271,3195.47945908086,0,0,0,0
7400,2016,3129.2196098539,473.281914271913,4837.86219027653,1371.90265039685,1975,26.7814796127261,6364.87815708788,599.705211751145,122.028423449658,3246.3403632994,0,0,0,0
7401,2016,3189.52258885526,482.402497962553,4931.09230463253,1398.34049338437,2045,27.0788046094642,6435.54032380384,611.26209023847,124.380024926806,3282.3808715867,0,0,0,0
7402,2016,3187.14611677639,482.043066092971,4927.41821145594,1397.29860794644,2092,27.628994790344,6566.29835193243,610.806646751285,124.287350976968,3349.07265327723,0,0,0,0
7403,2016,3146.15197341586,475.842866342684,4864.04010415974,1379.32608414212,2067,28.1847424477984,6698.37716822394,602.95024659734,122.688725342256,3416.43808932826,0,0,0,0
7404,2016,3095.35488272998,468.160010130372,4785.50636251011,1357.05578290632,2062,28.4515013233765,6761.77500004387,593.215142058755,120.707819664461,3448.77349863276,0,0,0,0
7405,2016,3055.54897540889,462.139526314875,4723.9653018022,1339.60420182096,2087,28.9516742150854,6880.64593470623,585.586463648403,119.155531004669,3509.40239107869,0,0,0,0
7406,2016,3058.81662451734,462.63374513555,4729.01717992002,1341.03679429812,2109,29.4435108919325,6997.53568712421,586.212698443283,119.282957685696,3569.02080198386,0,0,0,0
7407,2016,3079.3136961976,465.733845010694,4760.70623356812,1350.02305620028,2166,30.2160001357941,7181.12524176941,590.140898520255,120.082270503052,3662.6587580948,0,0,0,0
7408,2016,3129.81372787362,473.371772239308,4838.78071357068,1372.16312175634,2253,31.0051618093793,7368.67716090335,599.819072622941,122.051591937117,3758.31767728727,0,0,0,0
7409,2016,3151.79609460318,476.696517032941,4872.76607545415,1381.80056205721,2372,31.60536927943,7511.32228249819,604.031924879404,122.908825973122,3831.07234822238,0,0,0,0
7410,2016,3295.5726553749,498.442145142643,5095.04871263792,1444.83463105209,2494,31.9693839950626,7597.83390716913,631.586255854111,128.515599938343,3875.19670883581,0,0,0,0
7411,2016,3540.34927949865,535.463627709575,5473.48030982682,1552.14883115907,2687,33.6227332759894,7990.76838563637,678.496935034189,138.061016771694,4075.60888108764,0,0,0,0
7412,2016,3529.95221415359,533.891113280154,5457.40615217923,1547.59058236812,2653,33.1642414585895,7881.80336219587,676.504369777753,137.655568241151,4020.03239634554,0,0,0,0
7413,2016,3434.29921297902,519.423980529484,5309.52390182143,1505.65469349136,2553,32.0972059562771,7628.21203491617,658.172769418548,133.925441760157,3890.69075912755,0,0,0,0
7414,2016,3311.31678289742,500.823381278623,5119.38957993284,1451.73712207839,2416,30.9857106413684,7364.05440233315,634.603568956713,129.129564856022,3755.95988702548,0,0,0,0
7415,2016,3135.45784906094,474.225422929565,4847.50668486508,1374.63759967142,2232,29.3129101924307,6966.49716529571,600.900750905006,122.271692567984,3553.18992451186,0,0,0,0
7416,2016,2973.56068868783,449.739126814301,4597.2090872098,1303.65915421231,2047,27.3038824107332,6489.0322444019,569.873663340513,115.958279735245,3309.66387318737,0,0,0,0
7417,2016,2884.44298573015,436.260431704982,4459.43059308763,1264.58845028986,1897,25.7144441104137,6111.28682980818,552.794532571067,112.483006616307,3116.99872608141,0,0,0,0
7418,2016,2794.4341057429,422.646949644569,4320.27431402424,1225.12703932819,1761,24.1583506695415,5741.46614419195,535.544610493926,108.972980766179,2928.37550513851,0,0,0,0
7419,2016,2728.78406456407,412.71764424737,4218.77749002091,1196.34495410532,1684,23.366410257669,5553.25383097655,522.962984160434,106.412862901895,2832.37975876578,0,0,0,0
7420,2016,2698.48404555846,408.134887910201,4171.93280201937,1183.06091477169,1662,23.2219158667308,5518.91333874076,517.156079698823,105.231270041455,2814.86474539251,0,0,0,0
7421,2016,2731.4575956528,413.122005100649,4222.91084484457,1197.517075223,1677,23.0746427375054,5483.9124524235,523.475358083518,106.517121095463,2797.01290483899,0,0,0,0
7422,2016,2797.70175485134,423.141168465244,4325.32619214205,1226.55963180535,1738,23.4414361914253,5571.0844711759,536.170845288806,109.100407447207,2841.47409263267,0,0,0,0
7423,2016,2916.22829978505,441.067832960639,4508.57158932454,1278.5236680222,1786,23.6498415629707,5620.61402728522,558.886089212169,113.722520695395,2866.73613115181,0,0,0,0
7424,2016,3053.46956233988,461.825023428991,4720.75047027268,1338.69255206277,1855,23.847131981367,5667.5020070687,585.187950597116,119.07444129856,2890.65086094993,0,0,0,0
7425,2016,3191.30494291442,482.672071864739,4933.84787451498,1399.12190746282,1893,24.7002046355595,5870.24299007617,611.603672853859,124.449530389185,2994.05680528827,0,0,0,0
7426,2016,3240.31967954114,490.085354174865,5009.62604628217,1420.61079462017,1892,25.2031562655557,5989.77431881999,620.997194777054,126.360930604601,3055.02252491446,0,0,0,0
7427,2016,3247.15203676789,491.118720799913,5020.18906416487,1423.60621525422,1948,25.7922487824573,6129.77786408899,622.306594802712,126.627368210386,3126.42988712855,0,0,0,0
7428,2016,3199.02847717075,483.84022544088,4945.7886773389,1402.5080351361,1986,26.5286144285843,6304.78229567524,613.083864187211,124.75072072616,3215.68908989618,0,0,0,0
7429,2016,3167.83728113556,479.122682152618,4897.56620439614,1388.83328876325,2058,27.0954770391878,6439.50268829258,607.106168417905,123.534375134531,3284.40183466823,0,0,0,0
7430,2016,3198.73141816089,483.795296457182,4945.32941569183,1402.37779945636,2137,27.6567821732167,6572.90229274701,613.026933751313,124.73913648243,3352.44092507978,0,0,0,0
7431,2016,3285.76970804956,496.959488680618,5079.89307828448,1440.53685362062,2203,28.1263889437657,6684.50889251333,629.707551469472,128.13331989526,3409.3647185429,0,0,0,0
7432,2016,3269.72852151717,494.53332356094,5055.09294934249,1433.50412691458,2329,28.6960302926564,6819.88967921213,626.633307930971,127.507770733851,3478.41429049521,0,0,0,0
7433,2016,3342.50797893261,505.540924566885,5167.6120528756,1465.41186845124,2460,29.918675139056,7110.46307505345,640.581264726019,130.34591044765,3626.61824980749,0,0,0,0
7434,2016,3669.86700779714,555.052664601786,5673.71838795104,1608.93158752636,2736,32.3250624958334,7682.36434959569,703.318605085784,143.111747037884,3918.31058790848,0,0,0,0
7435,2016,3695.11702363515,558.871628216093,5712.75562795232,1620.00162030439,2733,32.4139821210261,7703.49696020233,708.157692137127,144.096407754917,3929.08905767664,0,0,0,0
7436,2016,3611.94050087465,546.291512780728,5584.16236677163,1583.53562997677,2635,31.8415620338481,7567.45577942208,692.217170085644,140.852819510574,3859.70265854407,0,0,0,0
7437,2016,3483.01689059588,526.792333855912,5384.84281194155,1527.01334496897,2496,30.7800840081103,7315.18524030529,667.509360905845,135.825257731843,3731.0346756866,0,0,0,0
7438,2016,3291.11677022702,497.768210387177,5088.15978793181,1442.88109585596,2299,28.9016569259145,6868.75884123999,630.732299315638,128.341836282396,3503.3395018341,0,0,0,0
7439,2016,3061.78721461593,463.083034972528,4733.60979639075,1342.33915109553,2082,27.1705029729441,6457.33332849193,586.782002802264,119.398800122994,3293.49616853512,0,0,0,0
7440,2016,2871.37238929636,434.283556422281,4439.22308061638,1258.85808038124,1910,25.5894008874865,6081.56909614259,550.289593391548,111.973299892196,3101.84150296993,0,0,0,0
7441,2016,2823.84294771893,427.094919030644,4365.74121708456,1238.0203716226,1804,24.7946817373267,5892.69638884573,541.180723647843,110.119820895429,3005.50892941694,0,0,0,0
7442,2016,2726.70465149506,412.403141361486,4215.56265849139,1195.43330434713,1697,24.2028104821378,5752.03244949527,522.564471109147,106.331773195786,2933.76474002259,0,0,0,0
7443,2016,2681.5516819965,405.57393583943,4145.75488813615,1175.63748102643,1546,23.8721406259525,5673.44555380182,513.911044852628,104.570968148857,2893.68230557223,0,0,0,0
