Timestamp,dena21,dena81,dena82,dena22,dena23,dena71,dena84,dena73,dena24,dena83,dena72,dena74,dena25,dena75,dena41,dena42,dena26,dena76
03/03/15 05:00 AM,842.508936556613,4109.92736556613,1652.83180966984,2424.90949245291,3753.99023867936,997.380126886774,2805.08312688677,3269.69669787726,2632.03455589629,2022.77761933968,8365.27377641483,5568.14020542435,2547.59461933968,4600.66787311323,2947.83606344339,4606.727,3890.6840483492,1296.89468278307
03/03/15 06:00 AM,970.728287187861,4790.50087187861,1915.53986156358,2849.04429750289,4406.45244625433,1114.92142562428,3174.65442562428,3607.23384093353,3074.29001031503,2369.33372312717,9230.3719587399,6140.07254343064,2967.32072312717,5263.60657437572,3348.06671281214,5248.997,4594.47430781791,1531.4914359393
03/03/15 07:00 AM,1071.75108889243,5335.19488892429,2124.24326667729,3191.69271113943,4933.00706670915,1202.26182221514,3457.01582221514,3848.54802218328,3429.153622247,2648.33853335457,9849.20151101199,6548.30931104385,3302.94453335457,5780.20217778486,3655.95891110757,5745.986,5166.16633338644,1722.05544446215
03/03/15 08:00 AM,1117.61232478394,5584.83124783942,2219.46697435183,3349.60659827154,5175.52589740731,1240.44335043212,3582.74135043212,3951.23442737664,3592.03827348759,2776.65794870365,10112.6389060496,6721.8258291051,3456.67994870365,6013.12464956788,3793.65767521606,5969.082,5430.48487175913,1810.16162391971
03/03/15 09:00 AM,1129.7149567884,5650.94956788403,2244.64487036521,3391.51965430722,5239.87948146083,1250.3700864232,3615.6700864232,3977.63547532757,3635.20469751882,2810.68974073042,10180.3812099247,6766.41582102035,3497.38974073042,6074.42991357681,3829.7850432116,6027.7,5500.72435182604,1833.57478394201
03/03/15 10:00 AM,1148.69582022382,5754.84420223824,2284.17246067147,3457.45256179059,5341.10084268589,1265.81435955235,3667.10535955235,4018.46097753794,3703.05474156677,2864.20292134295,10285.1450337329,6835.34941574734,3561.35192134294,6170.44164044765,3886.26917977618,6119.419,5611.28730335736,1870.42910111912
03/03/15 11:00 AM,1162.26535489267,5829.26754892668,2312.461064678,3504.73683914134,5413.68325871202,1276.76329021466,3703.72229021466,4047.21609618065,3751.67348424868,2902.56412935601,10358.9420630053,6883.88825703931,3607.16512935601,6238.98070978534,3926.51964510733,6184.831,5690.63032339002,1896.87677446334
03/03/15 12:00 PM,1147.66447341591,5749.19273415907,2282.02342024772,3453.86378732725,5335.59168099088,1264.97905316819,3664.31705316819,4016.26079242503,3699.36331391135,2861.29084049544,10279.4987443546,6831.63500509777,3557.87284049544,6165.22894683181,3883.20552658409,6114.442,5605.2671012386,1868.42236707953
03/03/15 01:00 PM,1125.40638615636,5627.39986156358,2235.67915846907,3376.58708925087,5216.9526338763,1246.84322768728,3603.95922768728,3968.26975228006,3619.82870309451,2798.56631693815,10156.349187622,6750.59866302919,3482.89031693815,6052.61277231272,3816.93361384364,6006.844,5475.69579234538,1825.23193078179
03/03/15 02:00 PM,1093.74887550281,5454.75475502808,2169.88162650842,3267.25700402246,5049.06750603369,1220.68824899438,3517.50924899438,3898.32736946912,3507.14612851965,2709.76125301685,9976.89948592138,6632.44136544665,3376.58025301685,5892.04775100562,3722.16612449719,5853.189,5292.58313254212,1764.19437751404
